,SEX,AGE,BMI,REA,ECMO1,ECMO2,ECMO3,ECMO4,SHOCK,PERFl,PERFr,CAD2,CAD3,CLlca,CLlcx,CLrca,CLlad,TFBAN,KM,RADT,FDP,DBT,CKadm,CKmax,CKMBa,CKMBm,TROPa,TROPm,KREAa,KREAm,BNP,LDHa,LDHm,ADP,LDL,TRIGL,HBA1C,LPa,LACa,LACm,HoINT,HTN,HLP,DM,FAMH,NIC1,NIC2,LVEF_dis
SEX,1.0,0.07532621397229491,0.0003426982189906827,0.0018688818206885416,0.004352826276865686,4.455641292787334e-08,0.0007796608079047915,0.000936033041437528,0.00021722418242685684,3.7145977935658574e-07,6.403321401428569e-05,3.7988511428775793e-06,0.0007788286938442803,0.001573489361204353,0.00021576706676065772,0.0008855684102662459,0.0007647702423005024,0.0017679595088774941,0.00807772722450833,0.0014039359657419307,0.016577937736848316,0.0026982210570259575,0.004785060526843793,0.005179641110993397,0.0017227503089460117,0.0010641032794914968,0.00014536423291116544,5.282559198480654e-05,0.0034294703639517264,0.0025678831879308987,0.004104276658145867,0.00037520624429310836,0.00015185126988776195,4.239424475226873e-05,2.1057549198118356e-06,0.0027017492249514614,0.004163142814273871,0.0006115004421456312,0.0017050184102422323,2.7502747804120677e-06,0.0005695532042794889,0.0070083204677533475,0.001167679044552566,0.001407981941183178,0.00203247967762268,0.011902884186304084,0.00926119209682037,0.001062476894808954
AGE,0.07532621397229491,1.0,0.02073593158717747,0.0011165827605942754,0.006192934939354377,0.0016546387589263976,0.0007446453814267471,0.0005665614154293172,0.004660401281042191,0.0006886518630762123,0.0016730559529689458,0.0005794202507415741,0.04826510234362581,0.003299420611231549,4.263541685751673e-05,0.00011373742955246503,9.121483883350598e-05,1.0611691448291351e-05,6.387634561661891e-05,0.006671571996450103,0.0005165795076074054,0.0013741382949325736,0.005756099271126764,0.008819265536148455,0.0017879005983196979,0.004171410219099146,0.00021416860283257763,0.003538929432072232,0.017374444356530683,0.021496642882640558,0.04647462067126494,0.0009543135368017067,6.595956232209999e-05,0.0068052034627123625,0.024086871363493127,0.054289909988638585,0.007092247350678547,0.000659753652850901,0.00024532517798931124,0.0038814809403110665,0.01847627255820135,0.07581202906266811,0.014675571332283586,0.008035676838677001,0.05552679905829134,0.18547373855617638,0.0035205993336009534,0.020243601035085438
BMI,0.0003426982189906827,0.02073593158717747,1.0,0.00263917143599636,0.0026567824758756634,0.00019240480626818115,0.00024976863647668406,5.321312466048252e-07,0.003569875509657208,2.086473916430825e-05,0.0005589747050268714,0.0017912522511919612,2.4043401047757202e-05,0.0004044147129788996,4.575444730418976e-06,0.000842377390803476,0.001022572136304179,0.004830754689026353,0.0012374312520773932,0.00037294755599468914,0.0423759589316323,0.0005355298425856963,0.0021470603307570365,0.003007892590036987,0.0006582844614322121,0.003115050618950934,1.396231492397959e-07,8.57921702681318e-05,0.0005814944086041157,0.001793194166111596,0.011743968037120087,0.0056847608477022,0.0017026839426035384,6.675595357674402e-05,0.00017469513559022632,0.030714890297119844,0.031265135117305456,3.868932325842624e-05,0.0067020246057739406,0.004311826879704049,0.001907830389152498,0.014974619660254903,0.002224675893461184,0.04320831025718103,2.740345498424882e-05,6.321860222240998e-06,0.0049991391491046476,0.0013912344682573542
REA,0.0018688818206885416,0.0011165827605942754,0.00263917143599636,1.0,0.13851894582049845,0.005944659136052497,0.00570469580260015,0.004183978421883158,0.3292590184976772,6.647000591872042e-06,0.0005941754647907366,7.015725767426795e-06,0.004262872243384611,0.004284164947525651,0.0005384251938502961,0.003828587899138146,0.0005514652307397142,0.029036486774985108,0.0071368154633124755,0.0025170698623386083,0.011523989351517208,0.00036281509288521325,0.008203828684194333,0.06434208644377139,0.021872892602701362,0.04103929433265007,0.0008085309618419701,0.015437680896661926,0.011954931704095473,0.02938750426041161,1.3813616753487547e-05,0.024393122990720807,0.029610086274069414,0.0032454261180963873,0.020750821128614084,0.0014015349391691986,0.005442779646390523,0.00102875308346104,0.3002470255911562,0.32237780634799884,0.00016423014220281784,0.0010299151428031178,0.0005631567069683992,0.0004876173813367061,0.00010960406485035916,0.0021908110723062794,0.0012936932857496707,0.09740077736951938
ECMO1,0.004352826276865686,0.006192934939354377,0.0026567824758756634,0.13851894582049845,1.0,0.0006706314780147026,0.0001664755149937768,0.00019986458347606497,0.25098132172184784,0.0009789292578079533,0.0013036205386002695,0.00016929310892403068,0.00047195023752816717,0.007813368939365494,0.00010081135016572993,0.004948811677961545,0.001551173655617791,0.02301130155908689,0.01183438695995445,0.018018779752067834,0.02449166975247605,0.0006515487527126586,0.017822673188345916,0.10417377490120737,0.031183138096852754,0.05748170479798135,0.008572285244018929,0.04103442397922115,0.01647181981978981,0.04853470731281038,0.002218098854874125,0.031554779158511764,0.07755845744002364,0.0011677479107444412,0.02387096927397103,3.5296963372402393e-06,0.0010675346459564617,0.003564672284332063,0.21056836152916972,0.27895141622295055,0.009629125396973349,0.0005514685973363068,0.0007906517536353881,0.0026798952957097855,0.0005135037044570207,0.004676940164850943,7.510222186935297e-05,0.15159676187561272
ECMO2,4.455641292787334e-08,0.0016546387589263976,0.00019240480626818115,0.005944659136052497,0.0006706314780147026,1.0,2.226068869228244e-05,2.6725391259727988e-05,0.030518593979774005,0.0022461456671982977,0.001181745323764376,3.497856184324521e-05,0.00218008692365836,0.0033947686714178183,7.592943958642716e-06,0.0019454183779425056,0.000846951770166787,0.00022422632323616584,0.0024475977966148233,0.0025437270426020885,0.002223076973911766,6.910678934726591e-05,1.272606658685457e-05,0.0010505967179629642,0.0003674564419589844,0.002932646743743918,0.0031845401543690605,0.019006520708543116,0.0007104138513694039,0.01752657458613621,0.00017866995926591576,0.003932294380761058,0.06585836809440135,0.000438390815592984,8.627286315116353e-05,0.0002494233050511142,0.0007901764606421767,8.283375519144516e-05,0.010092506859132428,0.018437525040195406,0.0006452878464126525,0.00015996584435408261,0.0002561981922037028,1.2888665153970593e-05,0.00025606478947829916,0.0008078403515503236,8.509834173231355e-05,0.016622725573728053
ECMO3,0.0007796608079047915,0.0007446453814267471,0.00024976863647668406,0.00570469580260015,0.0001664755149937768,2.226068869228244e-05,1.0,6.634229706223046e-06,0.008639959089071971,0.00018558384678197534,0.0003539413462102034,0.0001769097135374754,0.0003363894725732339,4.4947011967591586e-05,0.0002870363496894557,9.914888473511319e-06,9.314922509442949e-05,0.00023807365068260594,0.005528870810568019,0.0005355682521947831,0.0014317338704884042,9.696545335213202e-05,0.03715631767248021,0.009871199315921704,0.004802786974403634,0.002398043728462532,0.027976471685039618,0.010361854369462496,0.003770638106650637,0.001263654205975616,1.25028600596288e-05,0.18925125486446798,0.05449168613586766,0.00046258010343738776,0.005822571406036644,8.781287670371179e-05,0.00023877858379185731,0.0002383875696566279,0.01253935002786934,0.0043288502380037595,0.0005870756118397167,0.00045410998275531773,0.0008990388273186066,0.0040220142130598865,,0.0017183224081970309,0.0002376442465628955,0.010685911851630472
ECMO4,0.000936033041437528,0.0005665614154293172,5.321312466048252e-07,0.004183978421883158,0.00019986458347606497,2.6725391259727988e-05,6.634229706223046e-06,1.0,0.006440737008826879,0.00022280536713373137,3.180803370001526e-05,0.0001721052778378349,7.514379432132411e-05,5.3961784264383925e-05,9.738842516158343e-05,0.00020913968374387828,0.00031534566410901656,0.0003247302770638089,0.004387756687498887,0.0005478766500264888,0.002967957612502473,4.1779071296991424e-05,0.00010898230936482395,0.002788526348462882,1.96613041769726e-05,0.00011614495270377698,4.9823463007919243e-05,0.0007050674535292696,8.033431104272683e-05,0.0010544059935318722,,2.6013532392119126e-05,0.0131930413781637,0.00011587146256236324,3.809328141932838e-05,0.0015763224167389936,0.0012339108364412905,0.0007671569621749163,0.0024980162188265147,0.0021592537957784703,0.0007473286593354982,5.2944670183229835e-05,0.0003056662537938697,0.00020074032561601978,0.0007368721393600551,2.125240417822346e-06,2.8194302197198944e-05,2.0710094196520616e-05
SHOCK,0.00021722418242685684,0.004660401281042191,0.003569875509657208,0.3292590184976772,0.25098132172184784,0.030518593979774005,0.008639959089071971,0.006440737008826879,1.0,0.00036775819032990503,0.00037030969021872737,0.0002679279613997312,0.011096846104350612,0.021629104447918462,7.63621323036311e-05,0.009045423843637585,0.001655708099020289,0.03387288038697967,0.018115832627106348,0.01591891923169318,0.017353623735387184,0.00015472764526582359,0.01420585348655626,0.08794668010290393,0.033964144243642906,0.07679601753603478,0.0063640251755848415,0.051768669805206925,0.051701858246039165,0.0979660571377306,0.030561056186292766,0.05759928467253015,0.12289174272982183,0.0028555997225585476,0.033973028849520484,3.7544098340644864e-05,0.0004707898486587765,0.0009776028990617228,0.32759939075761807,0.4182773826357684,0.005714222763603379,0.004991395713264998,5.1871754565240984e-05,0.007525673153923169,0.0015375933451745039,5.453302380208698e-05,0.0003160302136431656,0.23447774552147657
PERFl,3.7145977935658574e-07,0.0006886518630762123,2.086473916430825e-05,6.647000591872042e-06,0.0009789292578079533,0.0022461456671982977,0.00018558384678197534,0.00022280536713373137,0.00036775819032990503,1.0,0.5243350311262044,2.505217179791157e-05,0.00016728328758403935,0.0006542257891382361,0.020948275862068915,0.03146338523812187,0.007428808037888445,0.0022985859475619544,0.0001364317391772165,0.001248113651568384,0.00041404312011913833,7.19462028774894e-05,0.0010749410107251762,4.9436318220463644e-05,0.0009287407590032084,0.001414895580137039,8.363817368666233e-05,1.2748515797609614e-05,7.747008758995188e-07,2.874872648435994e-07,0.024187962878903502,6.752421309854018e-05,0.00017077119245305976,0.00011178972609522752,4.764709488142748e-05,8.074619523035609e-06,0.004185832936666315,0.00034587027120495196,0.0008609579277489936,4.367968454946464e-05,0.00025106155829226963,6.618779848879443e-05,0.0010188435873892548,0.001111704131562987,0.005368430331689617,0.0010527084751106356,0.002370351294055956,3.899890786650546e-09
PERFr,6.403321401428569e-05,0.0016730559529689458,0.0005589747050268714,0.0005941754647907366,0.0013036205386002695,0.001181745323764376,0.0003539413462102034,3.180803370001526e-05,0.00037030969021872737,0.5243350311262044,1.0,1.116365151180822e-06,9.334118223045893e-05,0.00016012917855359334,0.03458357915159515,0.025009939308316877,0.0015975046079635925,0.0016149124464757262,0.0007330662961765115,0.000661950214707813,5.2609354959890766e-06,0.00016130564321355264,0.0021910207267899938,1.4116845737627368e-05,0.0020267419427036117,0.0015786878652549227,0.00035301432144398316,2.496966121853777e-05,1.4681525408313896e-05,3.277179798283727e-05,0.005420448956401283,1.4708300028847193e-06,0.0008099167266024082,0.00021911488690695057,0.0002470988120887669,0.00012437360950425368,0.0010673876490664396,0.00022059451762335662,0.0010943343142411446,0.0005181101367537758,0.0002690622915867523,3.930046584256639e-05,6.472727091377535e-05,0.00023762779555070828,0.005421711805628152,0.002125385147456452,0.002580041899288145,0.00015870465240270775
CAD2,3.7988511428775793e-06,0.0005794202507415741,0.0017912522511919612,7.015725767426795e-06,0.00016929310892403068,3.497856184324521e-05,0.0001769097135374754,0.0001721052778378349,0.0002679279613997312,2.505217179791157e-05,1.116365151180822e-06,1.0,0.2706097339390015,7.062592984028106e-05,0.0021215727464701513,6.486677280334546e-08,0.0005101319230667097,0.0001912699925679142,0.0010681585445591274,0.00021975302316508166,1.1856626115736282e-05,0.0013818508579098573,0.0010966115056966516,0.0010084942718736746,0.0009525469124547085,0.0004562117838264309,0.00014375422288178766,8.924768468803509e-06,0.0031320497498871446,0.0014411266643493017,0.0028921472899491115,0.00032721535326716065,0.0001544337481613527,0.00035993899951560274,0.000253216749210943,0.0013920274096504114,0.0009455690286436736,0.001979680511423389,3.4665263886560847e-07,3.3041258871337203e-09,0.004757675903695533,2.6530357971853444e-06,6.15490775916056e-06,0.001308962847625906,0.0012445480820262073,0.0013556764552263181,0.0017294906003271673,0.0034921703103551354
CAD3,0.0007788286938442803,0.04826510234362581,2.4043401047757202e-05,0.004262872243384611,0.00047195023752816717,0.00218008692365836,0.0003363894725732339,7.514379432132411e-05,0.011096846104350612,0.00016728328758403935,9.334118223045893e-05,0.2706097339390015,1.0,0.0035197296254384537,0.00023172575115950673,0.005578446910449798,0.007156746062925424,0.0001578528345533723,0.01221875045422003,0.02897548831899777,0.016432529308902117,0.0011570390847916853,2.3607457997728798e-06,1.593124444128622e-05,7.159357553878212e-05,5.3104120494763085e-09,8.1712350240483e-05,8.670060022065713e-05,0.022640018659577106,0.021127711668711333,0.01819991855968072,0.0019899025557936346,0.0002904555945761619,0.0003024500165591116,0.008298803322273252,3.2549532866783365e-06,0.018685077130357223,0.00010903968936213721,0.003638489562419013,0.008848900757417167,0.059206407931979475,0.028280342563618426,0.03791192493683949,0.025646754189395344,5.751460588881792e-05,0.017366508383081406,0.0018497664157327565,0.023122606055886383
CLlca,0.001573489361204353,0.003299420611231549,0.0004044147129788996,0.004284164947525651,0.007813368939365494,0.0033947686714178183,4.4947011967591586e-05,5.3961784264383925e-05,0.021629104447918462,0.0006542257891382361,0.00016012917855359334,7.062592984028106e-05,0.0035197296254384537,1.0,0.0023347086645868955,0.011165438847203944,0.01915636585606692,2.1018686266652466e-06,0.006085884858406825,0.0020107134512551096,0.0024322744388780592,0.0022741696729670522,0.0007980243221784418,0.0003053295362417094,0.0008128563028554027,0.0008955664029809637,0.0004486273582509863,0.0017295064189273854,0.0009659518495051988,0.004772081080812877,0.0004603890928148713,3.793267338834577e-06,0.0022733335540156612,0.0037203271676758804,0.003418336526221853,0.0014990871829717466,0.0005157953514502009,0.0009526285449002116,0.007791270208890519,0.011893977971526672,2.006920561408186e-05,0.000256315423183493,0.001341293754614394,0.0004463246032672186,0.0001401129871905098,0.0016124871001031995,0.0007014483369002156,0.01164626428996694
CLlcx,0.00021576706676065772,4.263541685751673e-05,4.575444730418976e-06,0.0005384251938502961,0.00010081135016572993,7.592943958642716e-06,0.0002870363496894557,9.738842516158343e-05,7.63621323036311e-05,0.020948275862068915,0.03458357915159515,0.0021215727464701513,0.00023172575115950673,0.0023347086645868955,1.0,0.07130366778759621,0.12233456881640702,0.0011806916467793586,1.8759501038946704e-08,0.0003565257007175914,0.0006033400232076705,2.9142208019713942e-05,0.00012234364229717033,0.003123792675673467,0.00014260873470140726,0.0018740623689196068,0.0007965824212881858,2.7932684290630168e-05,0.00015660167790252304,4.002403016889785e-08,8.680829512124307e-06,7.200226319053564e-05,0.0019092265961074579,9.052391377473823e-06,0.00011888292929279207,0.0015063442279003652,0.0008359068233062195,0.004259882852873145,1.4347182390715256e-05,0.00016724231584855728,1.6788426176993526e-05,0.0018068520580845208,0.0011061620977781779,5.889754869531569e-06,0.00012633104485184357,0.0006014171844798586,4.404695408234431e-05,0.00713779100577778
CLrca,0.0008855684102662459,0.00011373742955246503,0.000842377390803476,0.003828587899138146,0.004948811677961545,0.0019454183779425056,9.914888473511319e-06,0.00020913968374387828,0.009045423843637585,0.03146338523812187,0.025009939308316877,6.486677280334546e-08,0.005578446910449798,0.011165438847203944,0.07130366778759621,1.0,0.5850490760312247,0.0005158955106411203,0.0018798157166239236,0.0032777608518191146,0.0013825805689352557,0.0018907249634565,0.01146717131055472,0.021379929774649392,0.009671797168958876,0.03436343763811115,0.003095662346683668,0.010568596729475287,0.001176522092916431,1.6709155910534295e-05,0.006654797433798652,0.008284916486387897,0.0167683149425443,0.0009239439440457388,0.00024632823663230693,0.001650162334589305,0.000270778468737368,0.002868149171216315,0.0028299567860205557,0.0038803155285776067,0.00022899967362665605,0.00013166454100123595,2.2019632433758123e-07,0.00041422851060495447,0.002192556476708111,0.0002571575073470549,0.004239773706319619,0.06196694125357545
CLlad,0.0007647702423005024,9.121483883350598e-05,0.001022572136304179,0.0005514652307397142,0.001551173655617791,0.000846951770166787,9.314922509442949e-05,0.00031534566410901656,0.001655708099020289,0.007428808037888445,0.0015975046079635925,0.0005101319230667097,0.007156746062925424,0.01915636585606692,0.12233456881640702,0.5850490760312247,1.0,0.0021102620630962738,0.0006843421616995137,0.00275099580602844,0.0011195193819894692,0.0025249394106786963,0.010761224155916169,0.010594090518128402,0.008670884721159004,0.021114246130857987,0.0060365426480580246,0.00859982183796413,0.0014169694852928755,0.0002570599062535263,0.0050947645339678976,0.008213358886849514,0.007261868379485597,2.9337108351151497e-05,1.7890214252200972e-05,0.0032154482739176213,0.002044587195981552,0.007580915545728652,0.0003679778708602697,0.0003656998558111695,0.0005016196932678602,0.00046527182827537966,0.0009651230124604156,0.0010620799855838962,0.0010602461044266016,0.0004873294346978576,0.0034427065623937295,0.06647273954723579
TFBAN,0.0017679595088774941,1.0611691448291351e-05,0.004830754689026353,0.029036486774985108,0.02301130155908689,0.00022422632323616584,0.00023807365068260594,0.0003247302770638089,0.03387288038697967,0.0022985859475619544,0.0016149124464757262,0.0001912699925679142,0.0001578528345533723,2.1018686266652466e-06,0.0011806916467793586,0.0005158955106411203,0.0021102620630962738,1.0,0.01318589873462455,0.010855528849345038,0.01212779495096827,0.00010768754380336937,0.006898427343284286,0.012652823930525523,0.004728364191535273,0.017580344857948373,0.003463081774218858,0.006557391651225153,0.0003359138240696595,0.005621996033812426,7.844936738978532e-06,0.012302654118921761,0.007186781927744889,0.0033234753166651292,0.003807364897988262,0.00024788522768207045,0.000746564121145733,0.002733646725378812,0.014977540876460685,0.01714066966098696,0.006320544451111875,1.5999854540115771e-06,0.0017861451272588938,0.00023527688682076366,0.00033083362114397967,0.0004138048038388675,0.0015432390218984209,0.024127687224384697
KM,0.00807772722450833,6.387634561661891e-05,0.0012374312520773932,0.0071368154633124755,0.01183438695995445,0.0024475977966148233,0.005528870810568019,0.004387756687498887,0.018115832627106348,0.0001364317391772165,0.0007330662961765115,0.0010681585445591274,0.01221875045422003,0.006085884858406825,1.8759501038946704e-08,0.0018798157166239236,0.0006843421616995137,0.01318589873462455,1.0,0.425319601569475,0.3120247058150481,3.676576910774694e-05,0.004887272722683497,0.002953532025858069,0.005130180325165333,0.006412935896370558,0.006368127288961285,0.008666266576646353,8.448121639137504e-05,0.0024578456800573027,0.007194928190473738,0.008575047041912276,0.007261634071555794,0.009745705045854694,0.0002523522779965997,0.00015489526224609423,0.0015926851732379413,0.0006383166386179113,0.00828080756535468,0.02238792195556903,0.006546947000201051,0.0018678179780847457,3.946324429180014e-05,0.001058020054920638,0.00024360903824098212,0.0001832018242468088,2.671319783964619e-05,0.013451116667541986
RADT,0.0014039359657419307,0.006671571996450103,0.00037294755599468914,0.0025170698623386083,0.018018779752067834,0.0025437270426020885,0.0005355682521947831,0.0005478766500264888,0.01591891923169318,0.001248113651568384,0.000661950214707813,0.00021975302316508166,0.02897548831899777,0.0020107134512551096,0.0003565257007175914,0.0032777608518191146,0.00275099580602844,0.010855528849345038,0.425319601569475,1.0,0.5061394291226161,0.00033888553321905954,0.0005047009321177809,0.00021817600812821497,0.0014809071673438719,0.0006481511413412107,0.0027201684581491326,0.0017880357113698175,0.0030816331662521226,0.006550369474572469,0.014171105267060722,0.00458602537792016,0.002438858696267482,0.005741408287161085,0.006068135454597188,0.0006118231512041005,0.00037869416791090366,0.00047879408821288215,0.006454800720778261,0.016966413465921183,0.0011807368296368945,0.002988197468499885,0.0014705416368554264,0.0018158048869117331,0.0001328491308552562,0.007622116834081182,0.0006598769224470287,0.013121437190157029
FDP,0.016577937736848316,0.0005165795076074054,0.0423759589316323,0.011523989351517208,0.02449166975247605,0.002223076973911766,0.0014317338704884042,0.002967957612502473,0.017353623735387184,0.00041404312011913833,5.2609354959890766e-06,1.1856626115736282e-05,0.016432529308902117,0.0024322744388780592,0.0006033400232076705,0.0013825805689352557,0.0011195193819894692,0.01212779495096827,0.3120247058150481,0.5061394291226161,1.0,0.0006669229467397139,0.0021086998188622136,0.00220479240407889,0.0012788002475446667,0.004472796640925484,0.005974611141432698,0.01107753268111732,0.004385839576442047,0.008639045450139228,0.0016665602451447288,0.007878872660455977,0.006237322765521646,0.0022896703375940544,0.0012776167618512968,0.0004180803552657668,0.001079547192021681,0.003083990504104859,0.01307453803646205,0.026363725323987643,0.00013603764995245678,0.006304224266168115,0.00012814655496983174,0.0019416590115651354,3.101511020878571e-05,0.00549860155619209,0.002554130199118852,0.022411286912129468
DBT,0.0026982210570259575,0.0013741382949325736,0.0005355298425856963,0.00036281509288521325,0.0006515487527126586,6.910678934726591e-05,9.696545335213202e-05,4.1779071296991424e-05,0.00015472764526582359,7.19462028774894e-05,0.00016130564321355264,0.0013818508579098573,0.0011570390847916853,0.0022741696729670522,2.9142208019713942e-05,0.0018907249634565,0.0025249394106786963,0.00010768754380336937,3.676576910774694e-05,0.00033888553321905954,0.0006669229467397139,1.0,0.0007731174553283928,0.00037289972944957875,0.0012017341129435869,0.00033154751622783757,9.969066420294479e-05,0.00027119600317027,0.0013293135728661887,0.0008236098091861785,3.1108500969565015e-08,2.1897803523970175e-06,1.7398504332225954e-07,0.0014764560948442452,0.00414581067422229,0.00011023079899839194,0.00017083160737869945,0.0001651846219733138,0.0005552222834938007,0.00025814173815011534,0.00044733925105661196,4.032251823431849e-06,0.0006361100310132337,6.7047341278973045e-06,0.0019356500388761455,0.0007821832138347528,0.00024249259073102244,5.67581164400391e-05
CKadm,0.004785060526843793,0.005756099271126764,0.0021470603307570365,0.008203828684194333,0.017822673188345916,1.272606658685457e-05,0.03715631767248021,0.00010898230936482395,0.01420585348655626,0.0010749410107251762,0.0021910207267899938,0.0010966115056966516,2.3607457997728798e-06,0.0007980243221784418,0.00012234364229717033,0.01146717131055472,0.010761224155916169,0.006898427343284286,0.004887272722683497,0.0005047009321177809,0.0021086998188622136,0.0007731174553283928,1.0,0.1818030320314204,0.6623361038969305,0.21364902310016254,0.22330488770615395,0.08879602770489445,0.00013087798925656778,0.0016135781909077023,1.0001242182814006e-05,0.2581824871542096,0.07904596173956592,1.88434907570375e-07,0.0013092744036459002,0.0008320447118010372,3.0015656988389547e-05,0.004084058541157511,0.0073107323694576185,0.00808959147503128,0.00010945591142641489,0.002461171758608761,0.0038689320349323563,9.492345122279352e-06,0.000806569793308524,0.007024680113597005,0.00027078029625378423,0.039231745931827454
